customer_id,age,annual_income_usd,product_category,product_price_usd,purchase_date,store_id,store_location,payment_method,discount_percent,product_cost_usd,foot_traffic,qty,competitor_price_usd,full_name,gender,year_opened,is_favorite,purchase_id,product_id,visit_date,purchased_product_price_usd,store_chain_name
14,57,38744.0,Health & Beauty,837.39,2023-02-12,16,Philadelphia,Online Transfer,12,736.9,61,46,844.74,Justin Brewer,M,2014,1,681,576,2023-02-08,837.39,ShopNGo
15,38,52343.0,Electronics,870.01,2020-10-21,21,San Diego,Cash,0,870.01,460,2,1027.24,John Berry,M,2023,0,339,220,2020-10-18,870.01,HappyMart
16,31,37183.0,Books,580.08,2022-09-20,56,Philadelphia,Debit Card,30,406.06,235,50,673.16,Brandon Schneider,X,2021,0,961,972,2022-09-19,580.08,ShopPrime
17,27,136739.0,Health & Beauty,434.31,2021-04-13,88,San Antonio,Credit Card,0,434.31,836,41,362.41,Robert Robertson,M,2007,0,913,390,2021-04-11,434.31,ValueX
18,18,95791.0,Home & Kitchen,46.38,2021-10-26,98,Dallas,Cash,0,46.38,834,57,49.84,Michael Herrera,M,2003,1,861,942,2021-10-23,46.38,AllPrime
19,28,48190.0,Clothing,798.74,2022-12-02,10,Chicago,Mobile Payment,12,702.89,968,7,937.84,Martin Gibbs,M,2015,1,226,465,2022-12-02,798.74,OneStop
20,55,23490.0,Health & Beauty,991.35,2021-09-25,93,Houston,Online Transfer,0,991.35,917,96,1029.38,Anna Walker,F,2006,1,834,307,2021-09-21,991.35,CityShop
21,30,35647.0,Health & Beauty,728.66,2022-01-25,73,Philadelphia,Debit Card,3,706.8,763,38,784.48,Jonathan Mitchell,M,2021,1,993,407,2022-01-23,728.66,MegaDeal
22,45,70243.0,Groceries,830.95,2022-02-19,17,Dallas,Mobile Payment,0,830.95,902,68,762.46,Justin Bryant,X,2022,1,892,151,2022-02-16,830.95,BestChoice
23,47,91865.0,Groceries,107.33,2021-07-02,54,San Diego,Cash,14,92.3,379,66,104.73,Lisa Young DVM,F,2005,1,357,781,2021-07-02,107.33,RetailWave
24,30,41065.0,Clothing,63.61,2023-04-28,32,Philadelphia,Mobile Payment,0,63.61,380,3,59.44,Sonia Chavez,F,2008,0,517,464,2023-04-27,63.61,QuickShop
25,67,42708.0,Home & Kitchen,321.59,2021-03-31,66,San Diego,Cash,0,321.59,374,61,275.44,Stephen Williams,M,2013,1,964,507,2021-03-28,321.59,EasyShop
26,21,110548.0,Home & Kitchen,430.07,2021-11-24,31,Dallas,Online Transfer,20,344.06,685,21,488.99,Richard Weiss,X,1995,0,367,786,2021-11-21,430.07,ShopMax
27,19,146371.0,Electronics,401.87,2023-05-05,86,Chicago,Cash,0,401.87,895,56,410.26,Jose Mitchell,M,1998,0,512,405,2023-05-01,401.87,ShopWave
28,69,144077.0,Electronics,658.37,2023-05-02,44,Phoenix,Online Transfer,25,493.78,424,100,616.44,Edward Wilkinson,X,2008,0,588,457,2023-05-02,658.37,QuickMart
29,52,116001.0,Home & Kitchen,291.67,2020-08-17,25,New York,Mobile Payment,24,221.67,704,46,289.95,Andrea Lee,F,1993,1,579,135,2020-08-16,291.67,PrimeBuy
30,40,33217.0,Clothing,949.31,2022-08-31,23,San Jose,Debit Card,2,930.32,299,54,990.06,Kelsey Smith,F,2018,1,186,260,2022-08-30,949.31,AllGoods
31,67,25152.0,Clothing,815.46,2022-06-10,84,Dallas,Credit Card,6,766.53,272,16,662.83,Andrew Williams,X,2003,0,68,40,2022-06-08,815.46,RetailMax
32,41,69539.0,Groceries,801.69,2023-03-11,59,Philadelphia,Debit Card,30,561.18,942,7,725.1,Melissa Garcia,F,1993,1,538,398,2023-03-10,801.69,PrimeCart
33,57,74392.0,Health & Beauty,700.58,2022-06-23,92,Los Angeles,Credit Card,0,700.58,296,81,804.58,Brittney Boyd,F,1996,1,746,938,2022-06-21,700.58,SmartCart
34,63,50488.0,Electronics,506.22,2021-11-22,61,Phoenix,Online Transfer,29,359.42,141,67,523.47,Kristen Booth,F,2006,0,988,68,2021-11-19,506.22,MaxMart
35,58,53914.0,Electronics,779.79,2021-08-09,23,Chicago,Debit Card,0,779.79,533,49,904.94,Lauren Smith,F,1995,1,148,400,2021-08-08,779.79,AllGoods
36,31,41924.0,Groceries,540.73,2021-01-27,23,San Antonio,Credit Card,0,540.73,632,68,484.33,William Brooks,M,2000,0,827,741,2021-01-23,540.73,AllGoods
37,59,72435.0,Groceries,423.51,2022-02-09,96,Houston,Debit Card,0,423.51,682,4,395.63,Amber Cook,F,2014,0,75,614,2022-02-05,423.51,BestBuyers
38,56,88162.0,Electronics,225.04,2023-01-15,29,San Jose,Mobile Payment,3,218.29,410,95,202.52,Shane Holland,M,2009,1,315,366,2023-01-13,225.04,SuperValue
39,63,72763.0,Home & Kitchen,583.0,2022-11-09,76,Los Angeles,Debit Card,5,553.85,204,35,541.02,Logan Wolf,M,2004,0,669,146,2022-11-08,583.0,ShopZone
40,18,97580.0,Groceries,863.37,2023-02-10,12,Los Angeles,Mobile Payment,26,638.89,185,87,1027.01,Maurice Stanley,M,2023,1,166,773,2023-02-06,863.37,BigDeal
41,49,22538.0,Home & Kitchen,838.76,2021-08-09,13,San Jose,Cash,26,620.68,150,25,785.91,Donna Brown,F,2017,1,557,860,2021-08-06,838.76,MaxStore
42,52,121613.0,Health & Beauty,649.02,2022-09-10,21,Dallas,Cash,9,590.61,300,17,587.1,Angela Gallagher,F,2003,0,705,417,2022-09-09,649.02,HappyMart
43,39,107301.0,Clothing,407.66,2022-07-05,13,San Jose,Credit Card,2,399.51,479,50,330.45,Brandi Roberts,F,2017,1,735,268,2022-07-02,407.66,MaxStore
44,19,43301.0,Groceries,813.69,2022-08-03,19,Philadelphia,Credit Card,0,813.69,575,25,877.9,Melinda Adams,F,2017,1,866,1000,2022-08-03,813.69,FreshDeals
45,31,119115.0,Electronics,45.04,2021-02-22,98,New York,Debit Card,0,45.04,591,37,39.36,Steven Lawson,M,2005,1,780,881,2021-02-19,45.04,AllPrime
46,41,103601.0,Groceries,305.68,2022-04-11,26,San Jose,Cash,8,281.23,172,25,360.89,Shannon Banks,F,2007,1,319,708,2022-04-10,305.68,SmartBuy
47,41,135906.0,Home & Kitchen,939.19,2020-07-19,90,New York,Debit Card,8,864.05,895,75,1067.53,Michael Peterson,M,2000,0,833,26,2020-07-15,939.19,ShopVibe
48,27,133836.0,Health & Beauty,570.44,2021-05-04,42,San Diego,Mobile Payment,15,484.87,873,34,465.59,Michael Bryan,M,2016,0,752,363,2021-05-04,570.44,BudgetMart
49,41,76397.0,Home & Kitchen,744.69,2023-02-25,36,Phoenix,Mobile Payment,20,595.75,369,12,692.25,Casey Moody,F,2021,0,716,348,2023-02-22,744.69,GreatGoods
50,36,89093.0,Home & Kitchen,85.39,2022-09-01,98,San Jose,Debit Card,0,85.39,786,77,83.08,Margaret Williams,F,1991,1,287,744,2022-09-01,85.39,AllPrime
51,64,22119.0,Groceries,25.61,2021-08-22,73,Dallas,Online Transfer,0,25.61,498,37,21.89,Nichole Payne,F,1993,1,366,368,2021-08-20,25.61,MegaDeal
52,55,27462.0,Home & Kitchen,316.37,2021-09-20,50,Dallas,Mobile Payment,14,272.08,879,42,374.21,John Garcia,M,1993,1,516,160,2021-09-19,316.37,TotalMart
53,26,28722.0,Groceries,202.79,2023-02-13,29,San Antonio,Cash,0,202.79,779,45,182.19,Victor Williams,M,2009,0,702,645,2023-02-09,202.79,SuperValue
54,68,32880.0,Clothing,957.63,2023-05-12,53,Dallas,Credit Card,7,890.6,860,21,914.72,Chad Rogers,M,2005,0,740,327,2023-05-11,957.63,SuperSavings
55,43,85543.0,Groceries,532.07,2020-07-26,75,Houston,Online Transfer,0,532.07,568,29,509.8,Heather Wilson,F,2013,1,942,418,2020-07-22,532.07,GoShop
56,55,86368.0,Health & Beauty,922.24,2021-10-17,23,San Jose,Credit Card,0,922.24,530,29,771.39,Samantha Martinez,F,2018,1,58,57,2021-10-15,922.24,AllGoods
57,55,114623.0,Books,543.13,2023-04-27,66,New York,Online Transfer,28,391.05,254,27,478.67,Paula Taylor,F,1990,0,131,202,2023-04-23,543.13,EasyShop
58,62,95754.0,Books,339.66,2022-05-30,66,Philadelphia,Credit Card,26,251.35,375,62,293.87,Deborah Brown,X,1993,1,537,443,2022-05-29,339.66,EasyShop
59,30,82209.0,Books,957.58,2023-01-24,9,New York,Debit Card,0,957.58,937,19,1049.33,Jordan Butler,X,2019,1,486,488,2023-01-23,957.58,GlobalMart
60,21,75272.0,Health & Beauty,386.44,2022-09-11,95,Houston,Cash,19,313.02,631,0,314.79,James Brown,M,2021,1,162,426,2022-09-10,386.44,QuickGoods
61,22,42121.0,Home & Kitchen,47.58,2021-04-24,34,San Jose,Mobile Payment,0,47.58,950,96,55.92,Brianna Cobb,F,2000,1,231,210,2021-04-21,47.58,RetailHaven
62,24,29694.0,Health & Beauty,105.11,2023-06-18,99,Houston,Debit Card,24,79.88,546,25,113.51,Sylvia Mckee,F,2009,0,236,101,2023-06-14,105.11,ValueRush
63,24,54113.0,Home & Kitchen,496.97,2022-11-25,98,San Diego,Debit Card,0,496.97,981,74,482.28,Richard Daniels,M,2005,1,936,618,2022-11-22,496.97,AllPrime
64,19,42503.0,Clothing,325.71,2020-11-06,85,San Antonio,Online Transfer,25,244.28,517,66,377.58,Andrea Jordan MD,F,2003,0,380,677,2020-11-04,325.71,SmartShops
65,25,121150.0,Electronics,207.11,2022-10-18,55,New York,Credit Card,18,169.83,82,39,213.75,Steven Rich,X,2005,1,470,649,2022-10-16,207.11,NextBuy
66,26,67974.0,Home & Kitchen,212.55,2022-04-24,99,San Jose,Online Transfer,0,212.55,268,72,235.2,Hunter Flores,M,2023,0,503,543,2022-04-20,212.55,ValueRush
67,52,144229.0,Health & Beauty,236.61,2023-02-15,11,Philadelphia,Cash,0,236.61,708,72,195.29,Denise Oconnor,X,1994,0,456,57,2023-02-12,236.61,PrimeGoods
68,63,106288.0,Clothing,769.67,2023-01-25,43,Phoenix,Debit Card,0,769.67,848,7,885.43,Wendy Turner,X,2003,1,355,870,2023-01-22,769.67,FastBuy
69,63,122446.0,Home & Kitchen,617.32,2022-05-21,74,Houston,Credit Card,15,524.72,207,46,723.78,Leslie Dudley,F,2004,0,103,503,2022-05-17,617.32,SaveShop
70,63,102634.0,Clothing,505.18,2021-03-25,53,New York,Cash,0,505.18,470,69,470.65,Julie Hess,F,1997,0,672,362,2021-03-22,505.18,SuperSavings
71,62,46787.0,Groceries,595.05,2021-04-01,90,San Antonio,Debit Card,17,493.89,623,57,546.16,Michael Gomez,M,1996,1,80,880,2021-04-01,595.05,ShopVibe
72,45,146761.0,Electronics,409.46,2022-12-06,18,San Diego,Debit Card,24,311.19,519,43,332.72,Ronald Munoz,M,2012,0,769,283,2022-12-03,409.46,RetailRush
73,64,135087.0,Home & Kitchen,876.67,2023-03-25,15,New York,Online Transfer,0,876.67,393,48,863.34,James Everett,M,1996,0,840,414,2023-03-22,876.67,EasyCart
74,53,111350.0,Health & Beauty,560.49,2023-04-23,96,San Diego,Cash,5,532.47,138,59,497.51,Thomas Mccall,M,1997,1,820,254,2023-04-22,560.49,BestBuyers
75,51,145985.0,Electronics,52.51,2020-07-25,42,Dallas,Mobile Payment,0,52.51,623,89,54.83,Matthew Haney,M,1991,1,540,580,2020-07-22,52.51,BudgetMart
76,61,76754.0,Health & Beauty,546.16,2021-05-28,63,San Antonio,Credit Card,9,497.01,792,9,450.21,Willie Casey,M,2013,1,126,854,2021-05-25,546.16,SuperChoice
77,35,20675.0,Groceries,554.99,2022-11-14,63,Dallas,Online Transfer,0,554.99,418,73,463.54,John Torres,M,2016,0,811,314,2022-11-10,554.99,SuperChoice
78,25,110056.0,Health & Beauty,682.99,2022-07-24,69,Chicago,Online Transfer,26,505.41,581,84,641.27,Jessica Nolan,F,2008,0,316,394,2022-07-21,682.99,GlobalDeals
79,54,81875.0,Electronics,99.86,2021-07-08,14,Dallas,Cash,0,99.86,995,80,101.97,Sandra Harris,F,2005,0,582,54,2021-07-07,99.86,CityMart
80,70,65613.0,Groceries,219.8,2020-12-01,40,Los Angeles,Mobile Payment,29,156.06,298,65,199.09,Bradley Everett,M,2023,1,641,259,2020-12-01,219.8,ShoppersMart
81,24,84331.0,Groceries,573.82,2021-12-30,98,Houston,Mobile Payment,0,573.82,313,85,620.8,Samuel Burton,M,2017,1,98,785,2021-12-26,573.82,AllPrime
82,52,103663.0,Health & Beauty,571.65,2020-09-05,60,New York,Credit Card,0,571.65,865,51,617.2,Brittany Graham,F,2017,0,127,379,2020-09-01,571.65,ShoppersWorld
83,65,57493.0,Clothing,302.48,2021-04-26,72,San Antonio,Debit Card,0,302.48,555,36,244.64,Christian Robinson,M,1993,0,194,736,2021-04-23,302.48,RetailPrime
84,18,47782.0,Clothing,903.17,2020-10-29,42,San Antonio,Mobile Payment,0,903.17,791,49,861.02,Tracy Simpson,X,2015,1,632,650,2020-10-25,903.17,BudgetMart
85,29,148139.0,Books,500.75,2021-10-06,19,New York,Online Transfer,19,405.61,853,85,586.55,Kenneth Bentley,X,2018,0,642,944,2021-10-04,500.75,FreshDeals
86,48,23022.0,Clothing,792.0,2022-07-15,72,San Jose,Online Transfer,0,792.0,76,12,677.15,Edward Adams,M,2018,0,279,717,2022-07-13,792.0,RetailPrime
87,51,85448.0,Groceries,984.48,2021-03-06,30,Phoenix,Credit Card,0,984.48,692,5,988.88,Joanne Johnson,X,2011,0,116,748,2021-03-05,984.48,BigBasket
88,39,51172.0,Books,59.34,2022-02-07,68,Los Angeles,Online Transfer,30,41.54,285,85,63.42,Stephanie Smith,F,2000,0,925,22,2022-02-06,59.34,FreshShops
89,39,81394.0,Clothing,352.95,2022-01-31,59,San Jose,Online Transfer,0,352.95,401,70,366.58,Terry Lee,M,1998,1,373,961,2022-01-29,352.95,PrimeCart
90,19,43803.0,Electronics,980.85,2021-11-12,39,Phoenix,Cash,20,784.68,594,71,1036.07,Kenneth Bell,M,2013,1,1,7,2021-11-10,980.85,StoreWorld
91,51,103453.0,Electronics,718.37,2021-12-03,56,Los Angeles,Credit Card,0,718.37,71,90,846.37,Mrs. Nichole Barnes,F,2001,1,664,230,2021-12-03,718.37,ShopPrime
92,36,91456.0,Home & Kitchen,543.36,2022-01-24,98,Chicago,Online Transfer,12,478.16,608,82,547.72,Brendan Hudson,X,2000,1,745,284,2022-01-22,543.36,AllPrime
93,56,115206.0,Books,738.13,2023-04-23,82,New York,Online Transfer,0,738.13,981,19,764.71,Lauren Cardenas,F,2014,1,115,926,2023-04-20,738.13,MegaShops
94,27,78271.0,Health & Beauty,85.85,2021-07-27,67,New York,Credit Card,0,85.85,680,69,89.71,Sara Chen DDS,F,2012,0,434,451,2021-07-26,85.85,QuickCart
95,52,128135.0,Home & Kitchen,774.66,2021-05-18,98,Dallas,Cash,0,774.66,877,10,903.16,Patrick Ramos,M,2003,1,259,35,2021-05-15,774.66,AllPrime
96,32,81000.0,Books,428.53,2021-10-25,30,San Jose,Debit Card,0,428.53,173,74,450.56,Holly Johnson,F,2023,1,55,598,2021-10-23,428.53,BigBasket
97,34,123251.0,Electronics,644.13,2022-11-24,22,Los Angeles,Debit Card,22,502.42,78,10,560.68,Tiffany Foley,F,2004,1,271,500,2022-11-22,644.13,MarketHaven
98,67,109270.0,Home & Kitchen,254.21,2023-02-28,81,Dallas,Mobile Payment,0,254.21,809,44,260.75,Matthew Mcgee,M,2004,1,252,837,2023-02-24,254.21,PrimeDeals
99,47,85131.0,Health & Beauty,746.09,2021-05-21,88,Houston,Debit Card,0,746.09,338,67,789.66,Timothy Rojas,M,2008,0,698,867,2021-05-18,746.09,ValueX
100,18,147096.0,Home & Kitchen,976.74,2021-09-06,14,Los Angeles,Credit Card,7,908.37,677,30,1037.79,Bryan Anderson,M,2004,1,444,295,2021-09-03,976.74,CityMart
101,69,32367.0,Books,575.54,2021-03-05,40,San Jose,Credit Card,9,523.74,896,31,575.21,Kyle Thomas,X,1992,1,443,377,2021-03-01,575.54,ShoppersMart
102,65,146945.0,Books,258.05,2020-08-06,65,Los Angeles,Online Transfer,24,196.12,170,48,277.49,Justin Smith,M,1996,1,348,730,2020-08-03,258.05,HappyStore
103,52,136797.0,Groceries,25.17,2020-12-05,60,Dallas,Mobile Payment,23,19.38,892,72,29.03,Matthew Guzman,M,2019,0,795,872,2020-12-01,25.17,ShoppersWorld
104,21,56554.0,Groceries,244.41,2023-01-19,5,Phoenix,Credit Card,0,244.41,395,32,203.11,Courtney Jones DVM,X,2016,1,788,225,2023-01-17,244.41,UrbanGoods
105,61,26845.0,Groceries,674.56,2021-01-22,95,San Antonio,Credit Card,11,600.36,282,22,663.31,Joseph May,M,2010,1,638,194,2021-01-21,674.56,QuickGoods
106,19,26835.0,Health & Beauty,447.91,2022-11-08,50,San Diego,Cash,18,367.29,282,75,372.51,Michelle Powell,F,2022,0,450,601,2022-11-04,447.91,TotalMart
107,47,125493.0,Electronics,831.11,2020-12-24,51,Los Angeles,Cash,0,831.11,963,82,744.01,Morgan Keith,F,2023,1,452,701,2020-12-22,831.11,ExpressMart
108,62,99375.0,Groceries,662.36,2020-12-13,28,Phoenix,Online Transfer,25,496.77,602,62,631.06,Jesus Brown,M,1995,0,623,170,2020-12-09,662.36,MegaMart
109,49,87041.0,Electronics,889.54,2021-01-03,90,San Antonio,Cash,0,889.54,725,41,767.74,Lisa Bush,F,1996,1,187,829,2021-01-03,889.54,ShopVibe
110,55,122595.0,Groceries,961.75,2023-02-06,47,Phoenix,Online Transfer,17,798.25,177,4,1087.78,Regina Foster,F,2003,0,549,976,2023-02-04,961.75,BuySmart
111,53,33602.0,Home & Kitchen,468.66,2020-10-31,51,Phoenix,Debit Card,0,468.66,987,13,420.75,Allen Henderson,M,2005,1,356,999,2020-10-30,468.66,ExpressMart
112,53,46786.0,Home & Kitchen,795.89,2021-02-06,45,Phoenix,Cash,0,795.89,828,9,716.34,Dr. Jennifer Harris,F,2007,0,514,898,2021-02-02,795.89,MarketQuick
113,28,24266.0,Health & Beauty,879.68,2020-10-07,29,San Jose,Online Transfer,7,818.1,723,90,916.44,Felicia Jackson,F,2009,0,291,948,2020-10-06,879.68,SuperValue
114,52,80498.0,Clothing,801.16,2022-04-28,37,Dallas,Credit Card,1,793.15,522,2,773.15,Shelby Johnson,F,1990,1,905,674,2022-04-24,801.16,GoMart
115,23,66264.0,Electronics,236.1,2022-10-25,3,San Diego,Mobile Payment,0,236.1,782,61,280.91,Raymond Davidson,M,2023,1,992,283,2022-10-22,236.1,FreshMarket
116,53,104502.0,Clothing,159.53,2022-10-07,7,Phoenix,Debit Card,23,122.84,735,82,172.45,Dustin Robbins,M,2017,0,822,530,2022-10-04,159.53,SaveMore
117,41,34740.0,Home & Kitchen,919.83,2022-06-25,71,San Diego,Credit Card,4,883.04,317,5,751.81,Denise Taylor,F,2012,0,349,527,2022-06-23,919.83,PrimeShops
118,20,130475.0,Health & Beauty,594.45,2021-11-06,85,Houston,Cash,0,594.45,600,3,476.46,Anthony Bryant,M,2002,0,212,884,2021-11-05,594.45,SmartShops
119,62,132221.0,Books,299.65,2021-05-19,65,San Diego,Online Transfer,20,239.72,802,65,310.67,Melanie Wilson,F,1996,1,515,468,2021-05-16,299.65,HappyStore
120,68,81824.0,Groceries,748.89,2021-12-20,31,Dallas,Credit Card,22,584.13,963,78,710.0,James Fox,M,1995,1,215,591,2021-12-16,748.89,ShopMax
121,37,115661.0,Books,964.95,2022-08-08,69,Los Angeles,Credit Card,3,936.0,607,26,1073.71,Lori Allen,F,2017,1,371,631,2022-08-05,964.95,GlobalDeals
122,21,124380.0,Groceries,169.05,2020-08-11,52,San Jose,Online Transfer,3,163.98,325,43,172.61,Kristopher Adams,X,2010,0,82,174,2020-08-07,169.05,BestDeals
123,49,147532.0,Books,390.37,2021-10-06,46,Dallas,Cash,0,390.37,803,26,456.63,Kristen Nguyen,F,2010,1,743,836,2021-10-02,390.37,AllShop
124,61,32258.0,Books,178.61,2021-08-17,99,Dallas,Credit Card,0,178.61,378,32,208.03,Caroline Collins,F,1992,1,977,910,2021-08-16,178.61,ValueRush
125,33,109905.0,Health & Beauty,734.9,2021-09-18,98,Chicago,Mobile Payment,20,587.92,238,11,709.65,Laura Bell,F,2000,0,358,765,2021-09-17,734.9,AllPrime
126,43,63820.0,Clothing,531.21,2022-01-28,34,San Antonio,Cash,30,371.85,136,5,480.54,Breanna Castaneda,F,2023,1,947,65,2022-01-27,531.21,RetailHaven
127,40,148239.0,Electronics,23.52,2020-12-07,30,Chicago,Debit Card,12,20.7,55,0,25.84,Michael Choi,M,2007,1,322,88,2020-12-06,23.52,BigBasket
128,28,45084.0,Clothing,892.57,2023-01-27,11,Phoenix,Credit Card,24,678.35,683,37,1039.42,Kaitlyn Allison,F,2001,1,640,427,2023-01-24,892.57,PrimeGoods
129,20,108941.0,Groceries,760.73,2021-02-20,39,San Antonio,Credit Card,21,600.98,516,90,639.58,Leslie Johnston,F,1992,0,420,259,2021-02-17,760.73,StoreWorld
130,61,104986.0,Groceries,758.94,2022-01-21,9,Phoenix,Credit Card,0,758.94,510,72,860.82,Jasmine Lara,F,2007,1,354,290,2022-01-18,758.94,GlobalMart
131,45,58961.0,Home & Kitchen,700.07,2021-07-12,75,Philadelphia,Mobile Payment,27,511.05,151,87,597.93,Richard Hendrix,M,2007,1,228,439,2021-07-11,700.07,GoShop
132,21,149175.0,Health & Beauty,517.82,2021-11-01,70,Phoenix,Mobile Payment,14,445.33,431,35,467.11,Hannah Williams,F,2006,1,849,379,2021-11-01,517.82,FastChoice
133,25,91032.0,Groceries,201.4,2021-04-22,26,Phoenix,Mobile Payment,14,173.2,69,45,167.95,Denise Willis,F,1991,1,687,64,2021-04-21,201.4,SmartBuy
134,59,99099.0,Groceries,913.76,2021-03-19,95,San Diego,Debit Card,3,886.35,995,59,812.87,Connor Smith,M,1993,1,232,696,2021-03-17,913.76,QuickGoods
135,50,65127.0,Electronics,356.24,2021-05-12,88,Dallas,Credit Card,12,313.49,542,68,391.83,Christine Harris,F,2007,0,658,537,2021-05-09,356.24,ValueX
136,67,121999.0,Home & Kitchen,81.12,2022-02-26,72,Philadelphia,Cash,0,81.12,146,53,73.37,Brian Anderson,M,2005,1,377,927,2022-02-25,81.12,RetailPrime
137,59,95463.0,Groceries,204.81,2023-01-18,63,Dallas,Credit Card,4,196.62,82,86,178.93,Ashley Davis,F,2016,1,329,126,2023-01-15,204.81,SuperChoice
138,23,61518.0,Clothing,60.93,2023-02-11,1,Los Angeles,Cash,0,60.93,325,5,71.7,Sara Lee,X,2003,0,914,130,2023-02-10,60.93,ShopEase
139,67,127242.0,Groceries,894.68,2021-01-17,68,Phoenix,Online Transfer,0,894.68,195,40,968.2,Lisa Barker,F,1999,0,221,147,2021-01-16,894.68,FreshShops
140,33,54114.0,Health & Beauty,622.74,2021-03-15,72,Chicago,Mobile Payment,0,622.74,707,68,702.47,Jamie Sanchez,F,1996,0,426,601,2021-03-11,622.74,RetailPrime
141,27,130559.0,Clothing,371.51,2022-04-10,83,Phoenix,Credit Card,30,260.06,137,5,347.94,Tyler Stout,M,2007,0,365,383,2022-04-06,371.51,QuickValue
142,63,20890.0,Clothing,414.76,2023-03-20,60,Dallas,Online Transfer,0,414.76,659,90,469.6,Stephanie Hampton,F,2019,0,902,907,2023-03-17,414.76,ShoppersWorld
143,39,133567.0,Books,773.33,2020-11-11,44,San Jose,Cash,0,773.33,628,22,820.2,Roger Smith,M,1994,0,723,574,2020-11-10,773.33,QuickMart
144,42,107813.0,Health & Beauty,823.12,2023-06-28,92,Chicago,Cash,0,823.12,962,40,781.71,Dillon Reed,M,2008,0,311,302,2023-06-27,823.12,SmartCart
145,28,140526.0,Electronics,464.14,2020-07-25,16,Chicago,Debit Card,14,399.16,295,51,442.21,Keith Stevenson,M,2017,0,734,243,2020-07-23,464.14,ShopNGo
146,69,146555.0,Home & Kitchen,167.63,2022-12-11,16,Phoenix,Online Transfer,25,125.72,297,66,169.8,John Gomez,M,2013,1,301,489,2022-12-10,167.63,ShopNGo
147,21,29255.0,Books,838.83,2022-03-03,50,Chicago,Credit Card,0,838.83,595,91,676.05,Misty Miller,F,2015,1,969,131,2022-03-03,838.83,TotalMart
148,18,121120.0,Health & Beauty,350.66,2021-08-15,89,New York,Credit Card,0,350.66,94,47,404.91,Travis Estrada,M,2002,1,368,681,2021-08-14,350.66,MarketPrime
149,44,72018.0,Clothing,817.47,2020-10-20,39,San Antonio,Mobile Payment,0,817.47,57,1,895.51,Sandra Baker,F,1992,0,679,5,2020-10-17,817.47,StoreWorld
150,26,25236.0,Electronics,402.51,2022-01-16,84,Phoenix,Online Transfer,0,402.51,837,24,480.09,Robert Johnson,M,2021,1,940,649,2022-01-12,402.51,RetailMax
151,55,34357.0,Home & Kitchen,471.9,2020-08-07,78,Houston,Mobile Payment,18,386.96,242,12,438.5,Ray Phillips,M,2016,0,714,869,2020-08-03,471.9,SuperZone
152,48,23329.0,Electronics,729.69,2023-05-19,83,Chicago,Cash,0,729.69,282,19,630.72,Deborah Blair,F,2007,1,465,239,2023-05-17,729.69,QuickValue
